No,drillhole,Date ,Block,E/W,N/S,CoreRec,ELEV,FROM,TO,Length,AreaInfl,Vol, Category , %Ni , %Fe , %Co ,DESCRIPTION,Excavated,ExYear,NiVol,FeVol,CoVol,ORE CLASS,Cu. m.,%Ni,%Fe,%Co,Category,Excavated,%Ni,%Ni,%Fe,%Fe,,MINERAL RESOURCES AS OF YEAR 2018,,,,,,MINERAL RESOURCES AS OF YEAR 2018,,,,,,,,,,,,,,Statistic Data of 2016 Mineral Resources TMC,,,,Taga1,,,,,,,,,
0,1_T1,6-Oct-02,B019,E800,S750,,130.26,130.26,129,1.26,625,787.5,M,0.66,47.65,0.04,RBR-LAT,1,Dec-18,519.75,37524.375,31.5,SAP A,0, -   , -   , -   ,,<>1,>=2.00,,>=8.00,<20,,Taga1,Category: Measured+Indicated+Inferred,,,,,Taga1,Category: Measured+Indicated+Inferred,,,,,,,CUT-OFF GRADES,,,,,,ORE CLASS,Number Data,NI%,Fe%,%Volume,Category,Excavated,%Ni,%Ni,%Fe,%Fe,,,
0,2_T1,10-Oct-02,B019,E775,S750,,133.36,133.36,132,1.36,625,850,M,0.53,48.18,0.03,RBR-LAT,1,Dec-16,450.5,40953,25.5,,,,,,Category,Excavated,%Ni,%Ni,%Fe,%Fe,,LIMO C1, -   , -   , -   , -   ,,LIMO C1, -   , -   , -   ,33,0,0,0,LIMO C2,>=0.01,<0.80,>=20.00,<48.00,, , -   ,   ,   , -   , , , , , , ,,0,0
0,3_T1,10-Oct-02,B019,E750,S750,,137.44,137.44,136,1.44,625,900,M,0.65,51.96,0.03,RBR-LAT,1,2018,585,46764,27,TOTAL/AVERAGE,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,LIMO C,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,
0,4_T1,10-Oct-02,B019,E750,S775,,146.77,146.77,146,0.77,625,481.25,M,0.63,50.51,0.03,RBR-LAT,1,Aug-18,303.1875,24307.9375,14.4375,TOTAL/AVERAGE,#REF!,#VALUE!,#REF!,#REF!,,,,,,,,LIMO B1, -   , -   , -   , -   ,,LIMO B1, -   , -   , -   ,33,0,0,0,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,
0,5_T1,11-Oct-02,B019,E775,S775,,135.86,135.86,135,0.86,625,537.5,M,0.56,51.68,0.03,RBR-LAT,1,Dec-16,301,27778,16.125,ORE CLASS,Cu. m.,%Ni,%Fe,%Co,Category,Excavated,%Ni,%Ni,%Fe,%Fe,,#REF!,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,6_T1,11-Oct-02,B019,E825,S750,,127.76,127.76,127,0.76,625,475,M,0.72,52.76,0.09,RBR-LAT,1,Dec-18,342,25061,42.75,,,,,,Category,Excavated,%Ni,%Ni,%Fe,%Fe,,#REF!,#REF!,,#REF!,,,#REF!,#REF!,,#REF!,,,,,,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,
0,7_T1,14-Oct-02,B019,E750,S825,,140.58,140.58,140,0.58,625,362.5,M,0.63,50.05,0.02,RBR-LAT,1,2018,228.375,18143.125,7.25,TOTAL/AVERAGE,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,LIMO C,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,
0,8_T1,15-Oct-02,B019,E850,S750,,131.96,131.96,131,0.96,625,600,M,0.8,49.99,0.03,RBR-LAT,1,Dec-18,480,29994,18,,,,,,Category,Excavated,%Ni,%Ni,%Fe,%Fe,,#REF!,#REF!,,#REF!,,,#REF!,#REF!,,#REF!,,,,,#REF!,,,,,,,,,,,,,,,,,,,
0,9_T1,16-Oct-02,B019,E800,S775,,130.87,130.87,130,0.87,625,543.75,M,0.74,50.09,0.04,RBR-LAT,1,Dec-18,402.375,27236.4375,21.75,,,,,,Category,Excavated,%Ni,%Ni,%Fe,%Fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201A,10_T1,16-Oct-02,B019,E750,S875,,145.01,145.01,144,1.01,625,631.25,M,0.69,50.28,0.03,RBR-LAT,1,Sep-08,435.5625,31739.25,18.9375,,,,,,Category,Excavated,%Ni,%Ni,%Fe,%Fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,11_T1,17-Oct-02,B019,E750,S850,,142.14,142.14,141,1.14,625,712.5,M,0.7,47.42,0.04,RBR-LAT,1,2010,498.75,33786.75,28.5,,,,,,Category,Excavated,%Ni,%Ni,%Fe,%Fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12_T1,17-Oct-02,B019,E750,S800,,138.88,138.88,138,0.88,625,550,M,0.61,47.72,0.03,RBR-LAT,,,335.5,26246,16.5,,,,,,Category,Excavated,%Ni,%Ni,%Fe,%Fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13_T1,19-Oct-02,B019,E825,S775,,137.23,137.23,136,1.23,625,768.75,M,0.72,50.02,0.03,RBR-LAT,1,Dec-18,553.5,38452.875,23.0625,LIMO C1,#REF!,#REF!,#REF!,#REF!,<>F,<>1,<0.80,,>=48.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201A,14_T1,21-Oct-02,B019,E775,S875,,148.15,148.15,147,1.15,625,718.75,M,0.61,50.13,0.03,RBR-LAT,1,Sep-09,438.4375,36030.9375,21.5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,15_T1,21-Oct-02,B019,E775,S825,,136.15,136.15,135,1.15,625,718.75,M,0.59,49.8,0.03,RBR-LAT,1,2018,424.0625,35793.75,21.5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,16_T1,22-Oct-02,B019,E775,S850,,144.32,144.32,143,1.32,625,825,M,0.64,52.37,0.02,RBR-LAT,,,528,43205.25,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,17_T1,23-Oct-02,B019,E875,S750,,136.53,136.53,136,0.53,625,331.25,M,0.6,48.77,0.02,RBR-LAT,1,Dec-18,198.75,16155.0625,6.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,18_T1,25-Oct-02,B019,E800,S825,,136.15,136.15,135,1.15,625,718.75,M,0.83,49.17,0.04,RBR-LAT,1,Dec-18,596.5625,35340.9375,28.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
