Hole no.,Date ,Block,E/W,N/S,ELEV,%Ni,%Fe,%Co
56-55 T3DL,16-Sep-11,,591740.968,105154.02,358.14,1.0900,47.3600,0.0500
16-183 T3DL,6-Sep-11,,591640.968,1051004.02,417.74,0.7400,48.0800,0.0100
25-184 T3DL,9-Sep-11,,591665.968,1051004.02,414.26,0.6600,48.8800,0.0300
42-185 T3DL,14-Sep-11,,591690.968,1051004.02,408.17,1.0900,49.4100,0.1000
68-186 T3DL,20-Sep-11,,591740.968,1051004.02,346.07,1.1100,50.6900,0.0800
69-187 T3DL,21-Sep-11,,591740.968,1051004.02,347.6,1.0700,55.6600,0.1000
76-188 T3DL,22-Sep-11,,591790.968,1051004.02,337.54,1.4900,48.4400,0.2400
88 T3DL 189,23-Sep-11,,591790.968,1051004.02,322.35,1.6000,31.4900,0.0700
96 T3DL 190,24-Sep-11,,591815.968,1051004.02,382.15,0.8400,50.1800,0.0200
97 T3DL 191,26-Sep-11,,591840.968,1051004.02,365.16,1.0500,55.1500,0.0300
119 T3DL 193,29-Sep-11,,591890.968,1051004.02,337.58,0.8800,36.0000,0.0200
128 T3DL 195,1-Oct-11,,591940.968,1051004.02,327.24,0.7800,52.1700,0.0300
132 T3DL 196,1-Oct-11,,591965.968,1051004.02,318.58,0.7000,53.0400,0.0100
140 T3DL 197,6-Oct-11,,591990.968,1051004.02,312.13,0.8000,53.7200,0.0300
32-174 T3DL,13-Sep-11,,591665.968,1051029.02,384.75,1.1300,51.1200,0.0400
45-175 T3DL,15-Sep-11,,591715.968,1051029.02,419.16,0.7300,48.2200,0.0300
82-176 T3DL,23-Sep-11,,591765.968,1051029.02,397.47,1.2000,49.0700,0.1500
10 T3DL 177,27-Sep-11,,591815.968,1051029.02,315.71,1.1100,47.4900,0.0700
115 T3DL 178,28-Sep-11,,591865.968,1051029.02,306.98,0.8000,52.2100,0.0200
127 T3DL 179,30-Sep-11,,591915.968,1051029.02,331.76,0.9400,26.2200,0.0500
137 T3DL 180,5-Oct-11,,591965.968,1051029.02,306.22,0.8300,49.6200,0.0200
