drillhole,date,block,easting,northing,elev,x,y,z
HYYB0001,2005-06-22,D081,E000,S000,60.54,593271.974,1053294.161,62.44
HYYB0002,2005-06-22,D073,E800,S000,82.35,593171.991,1053292.308,83.487
HYYB0003,2005-06-22,D073,E700,S000,91.19,593071.848,1053293.234,91.978
HYYB0004,2005-06-22,D073,E600,S700,103.58,592971.865,1053291.38,101.476
HYYB0005,2005-06-22,D072,E500,S000,108.35,592873.733,1053315.691,112.591
HYYB0006,2005-06-22,D072,E400,S000,101.05,592773.733,1053315.691,105.287
HYYB0007,2005-06-22,D072,E300,S000,86.12,592673.733,1053315.691,84.575
HYYB0008,2005-06-22,D071,E200,S000,73.07,592574.252,1053316.553,70.66
HYYB0009,2005-06-23,D071,E100,S000,48.46,592474.166,1053291.898,56.285
HYYB0010,2005-06-23,D071,E000,S000,55.04,592371.968,1053280.259,57.061
HYYB0011,2005-06-28,D081,E000,S100,74.22,593273.815,1053194.177,74.03
HYYB0012,2005-06-27,D073,E800,S100,91.16,593173.827,1053192.634,93.146
HYYB0013,2005-06-27,D073,E700,S100,104.36,593073.839,1053191.091,106.481
HYYB0014,2005-06-27,D073,E600,S100,106.78,592973.852,1053189.547,108.658
HYYB0015,2005-06-27,D072,E500,S100,105.67,592873.733,1053215.691,108.218
HYYB0016,2005-06-29,D072,E400,S100,94.14,592773.733,1053215.691,94.752
HYYB0017,2005-06-27,D072,E300,S100,89.44,592673.733,1053215.691,89.191
HYYB0018,2005-06-23,D071,E200,S100,68.33,592573.733,1053215.691,71.837
HYYB0019,2005-06-27,D071,E100,S100,49.99,592473.906,1053217.109,52.356
HYYB0020,2005-06-30,D071,E000,S100,63,592373.822,1053180.276,65.975
HYYB0021,2005-06-30,D081,E000,S200,92.22,593278.385,1053096.925,95.149
HYYB0022,2005-07-01,D073,E800,S200,109.35,593176.392,1053092.866,111.051
HYYB0023,2005-06-30,D073,E700,S200,110.62,593073.733,1053115.691,110.663
HYYB0024,2005-07-01,D073,E600,S200,98.33,592973.733,1053115.691,103.786
HYYB0025,2005-07-01,D072,E500,S200,91.64,592873.733,1053115.691,95.698
HYYB0026,2005-07-05,D072,E400,S200,91.12,592775.403,1053087.366,92.961
HYYB0027,2005-06-29,D072,E300,S200,70.88,592678.456,1053087.664,75.566
HYYB0028,2005-07-06,D071,E200,S200,51.69,592578.468,1053086.121,56.204
HYYB0029,2005-06-30,D071,E100,S200,58.18,592478.48,1053084.577,61.897
HYYB0030,2005-07-05,D071,E000,S200,59.24,592378.492,1053083.034,62.888
HYYB0031,2005-07-05,D084,E000,S300,99.07,593277.452,1052996.89,100.974
HYYB0032,2005-07-06,D076,E800,S300,111.34,593173.733,1053015.691,117.51
HYYB0033,2005-07-05,D076,E700,S300,111.27,593073.733,1053015.691,118.146
HYYB0034,2005-07-06,D076,E600,S300,99.85,592977.518,1052990.473,101.898
HYYB0035,2005-07-05,D075,E500,S300,99.5,592877.53,1052988.93,101.686
HYYB0036,2005-07-11,D075,E400,S300,74.33,592777.542,1052987.387,76.317
HYYB0037,2005-07-04,D075,E300,S300,63.03,592677.554,1052985.844,64.381
HYYB0038,2005-07-09,D074,E200,S300,64.37,592577.571,1052984.003,66.674
HYYB0039,2005-07-04,D074,E100,S300,70.25,592477.588,1052982.162,72.952
HYYB0040,2005-07-08,D074,E000,S300,71.24,592380.036,1052983.046,74.212
HYYB0041,2005-07-09,D084,E000,S400,103,593273.733,1052915.691,106.538
HYYB0042,2005-07-09,D076,E800,S400,119.87,593173.733,1052915.691,124.152
